,tags,1,new
104,"['under', 'mod', 'gap']",74,"['under', 'gap', 'mod']"
106,"['line', 'mod', 'gap']",11,"['gap', 'line', 'mod']"
107,"['grLine', 'space', 'retrace']",1,"['space', 'retrace', 'grLine']"
108,"['line', 'mod', 'retrace']",1,"['line', 'mod', 'retrace']"
109,"['handShift', 'mod', 'gap']",14,"['mod', 'gap', 'handShift']"
110,"['line', 'space', 'num']",1,"['space', 'num', 'line']"
111,"['under', 'gap', 'c']",1,"['under', 'gap', 'c']"
112,"['mod', 'hi', 'abbr']",7,"['hi', 'mod', 'abbr']"
113,"['line', 'date', 'abbr']",1,"['date', 'line', 'abbr']"
114,"['line', 'date', 'choice']",1,"['choice', 'date', 'line']"
117,"['line', 'mod', 'unclear']",9,"['line', 'mod', 'unclear']"
118,"['handShift', 'fw', 'mod']",3,"['fw', 'mod', 'handShift']"
119,"['g', 'anchor', 'space']",1,"['anchor', 'g', 'space']"
120,"['line', 'date', 'num']",1,"['date', 'num', 'line']"
121,"['line', 'app', 'lem']",7,"['app', 'lem', 'line']"
122,"['hi', 'overw', 'under']",3,"['overw', 'under', 'hi']"
123,"['space', 'handShift', 'anchor']",4,"['space', 'anchor', 'handShift']"
124,"['handShift', 'anchor', 'grLine']",2,"['anchor', 'handShift', 'grLine']"
125,"['seg', 'handShift', 'grLine']",2,"['seg', 'handShift', 'grLine']"
126,"['handShift', 'mod', 'grLine']",2,"['mod', 'handShift', 'grLine']"
127,"['mod', 'handShift', 'unclear']",2,"['unclear', 'mod', 'handShift']"
128,"['anchor', 'handShift', 'retrace']",2,"['anchor', 'handShift', 'retrace']"
129,"['under', 'mod', 'unclear']",44,"['under', 'unclear', 'mod']"
130,"['under', 'fw', 'mod']",1,"['fw', 'under', 'mod']"
131,"['handShift', 'seg', 'retrace']",11,"['seg', 'handShift', 'retrace']"
133,"['space', 'handShift', 'grLine']",14,"['space', 'handShift', 'grLine']"
134,"['over', 'handShift', 'g']",14,"['over', 'handShift', 'g']"
139,"['retrace', 'grLine', 'handShift']",2,"['handShift', 'retrace', 'grLine']"
141,"['line', 'grLine', 'c']",2,"['c', 'line', 'grLine']"
142,"['lem', 'handShift', 'ins']",6,"['lem', 'ins', 'handShift']"
143,"['rdg', 'handShift', 'retrace']",2,"['rdg', 'handShift', 'retrace']"
144,"['handShift', 'anchor', 'app']",3,"['anchor', 'app', 'handShift']"
145,"['lem', 'ins', 'retrace']",1,"['lem', 'ins', 'retrace']"
146,"['rdg', 'ins', 'retrace']",1,"['rdg', 'ins', 'retrace']"
147,"['handShift', 'anchor', 'unclear']",1,"['anchor', 'unclear', 'handShift']"
148,"['mod', 'supplied', 'gap']",1,"['supplied', 'gap', 'mod']"
149,"['over', 'handShift', 'mod']",8,"['over', 'mod', 'handShift']"
151,"['anchor', 'mod', 'g']",1,"['anchor', 'mod', 'g']"
152,"['line', 'handShift', 'note']",40,"['note', 'line', 'handShift']"
153,"['handShift', 'mod', 'note']",1,"['note', 'mod', 'handShift']"
156,"['under', 'handShift', 'gap']",3,"['under', 'gap', 'handShift']"
158,"['mod', 'ins', 'gap']",1,"['gap', 'ins', 'mod']"
161,"['anchor', 'damage', 'gap']",1,"['anchor', 'damage', 'gap']"
162,"['handShift', 'hi', 'retrace']",4,"['hi', 'handShift', 'retrace']"
163,"['under', 'fw', 'handShift']",1,"['fw', 'under', 'handShift']"
165,"['gap', 'ins', 'handShift']",1,"['gap', 'handShift', 'ins']"
169,"['damage', 'gap', 'space']",1,"['space', 'damage', 'gap']"
170,"['gap', 'space', 'note']",1,"['space', 'gap', 'note']"
171,"['line', 'damage', 'mod']",2,"['damage', 'line', 'mod']"
174,"['handShift', 'g', 'date']",1,"['date', 'handShift', 'g']"
175,"['seg', 'retrace', 'anchor']",1,"['anchor', 'seg', 'retrace']"
176,"['line', 'g', 'overw']",1,"['overw', 'line', 'g']"
177,"['g', 'handShift', 'overw']",1,"['overw', 'handShift', 'g']"
178,"['handShift', 'note', 'abbr']",15,"['note', 'abbr', 'handShift']"
185,"['under', 'mod', 'g']",2,"['under', 'mod', 'g']"
186,"['fw', 'handShift', 'anchor']",2,"['anchor', 'fw', 'handShift']"
190,"['hi', 'abbr', 'overw']",1,"['overw', 'hi', 'abbr']"
192,"['mod', 'gap', 'space']",3,"['space', 'gap', 'mod']"
194,"['mod', 'app', 'lem']",2,"['app', 'lem', 'mod']"
197,"['line', 'hi', 'orig']",1,"['orig', 'hi', 'line']"
198,"['handShift', 'anchor', 'hi']",4,"['anchor', 'hi', 'handShift']"
199,"['space', 'handShift', 'note']",1,"['space', 'handShift', 'note']"
200,"['ins', 'handShift', 'overw']",1,"['overw', 'ins', 'handShift']"
203,"['lem', 'handShift', 'gap']",2,"['lem', 'gap', 'handShift']"
205,"['line', 'note', 'abbr']",3,"['note', 'line', 'abbr']"
206,"['gap', 'space', 'handShift']",2,"['space', 'gap', 'handShift']"
207,"['line', 'seg', 'abbr']",2,"['seg', 'line', 'abbr']"
208,"['seg', 'abbr', 'hi']",1,"['seg', 'hi', 'abbr']"
209,"['rdg', 'overw', 'under']",1,"['overw', 'rdg', 'under']"
210,"['line', 'mod', 'grLine']",2,"['line', 'mod', 'grLine']"
213,"['ins', 'retrace', 'g']",1,"['ins', 'retrace', 'g']"
214,"['handShift', 'damage', 'gap']",14,"['damage', 'gap', 'handShift']"
215,"['damage', 'gap', 'mod']",1,"['damage', 'gap', 'mod']"
216,"['line', 'damage', 'gap']",34,"['damage', 'gap', 'line']"
218,"['handShift', 'mod', 'overw']",3,"['overw', 'mod', 'handShift']"
219,"['fw', 'handShift', 'retrace']",1,"['fw', 'handShift', 'retrace']"
220,"['under', 'handShift', 'mod']",2,"['under', 'handShift', 'mod']"
221,"['zone', 'line', 'handShift']",4,"['zone', 'line', 'handShift']"
222,"['g', 'handShift', 'retrace']",1,"['retrace', 'handShift', 'g']"
223,"['handShift', 'mod', 'g']",2,"['mod', 'handShift', 'g']"
224,"['fw', 'handShift', 'overw']",2,"['overw', 'fw', 'handShift']"
226,"['handShift', 'g', 'c']",2,"['handShift', 'g', 'c']"
228,"['grLine', 'handShift', 'overw']",1,"['overw', 'handShift', 'grLine']"
232,"['line', 'ins', 'retrace']",1,"['ins', 'line', 'retrace']"
235,"['retrace', 'grLine', 'mod']",1,"['mod', 'retrace', 'grLine']"
236,"['line', 'hi', 'retrace']",2,"['hi', 'line', 'retrace']"
238,"['seg', 'mod', 'retrace']",1,"['seg', 'mod', 'retrace']"
239,"['mod', 'retrace', 'handShift']",1,"['mod', 'retrace', 'handShift']"
240,"['seg', 'handShift', 'ins']",4,"['seg', 'ins', 'handShift']"
241,"['handShift', 'unclear', 'gap']",1,"['gap', 'unclear', 'handShift']"
242,"['line', 'anchor', 'orig']",1,"['anchor', 'orig', 'line']"
243,"['space', 'handShift', 'unclear']",1,"['space', 'unclear', 'handShift']"
244,"['lem', 'retrace', 'handShift']",1,"['lem', 'handShift', 'retrace']"
245,"['handShift', 'abbr', 'app']",2,"['app', 'abbr', 'handShift']"
246,"['handShift', 'mod', 'seg']",3,"['seg', 'mod', 'handShift']"
247,"['line', 'seg', 'retrace']",3,"['seg', 'line', 'retrace']"
249,"['handShift', 'gap', 'grLine']",1,"['gap', 'handShift', 'grLine']"
250,"['line', 'anchor', 'hi']",4,"['anchor', 'hi', 'line']"
251,"['handShift', 'grLine', 'c']",1,"['c', 'handShift', 'grLine']"
253,"['handShift', 'fw', 'g']",1,"['fw', 'handShift', 'g']"
254,"['anchor', 'seg', 'handShift']",1,"['anchor', 'seg', 'handShift']"
256,"['line', 'space', 'anchor']",2,"['space', 'line', 'anchor']"
257,"['line', 'space', 'mod']",2,"['space', 'line', 'mod']"
